"","max_depth","min_split","cp","minbucket","ganancia_promedio"
"883",8,200,-0.5,100,49254000
"884",8,200,0,100,0
"885",8,200,0.5,100,0
"886",8,200,1,100,0
"887",8,200,1.5,100,0
"888",8,200,2,100,0
"889",8,200,-1.5,50,47610000
"890",8,200,-1,50,47610000
"891",8,200,-0.5,50,47610000
"892",8,200,0,50,0
"893",8,200,0.5,50,0
"894",8,200,1,50,0
"895",8,200,1.5,50,0
"896",8,200,2,50,0
"897",8,200,-1.5,40,47968000
"898",8,200,-1,40,47968000
"899",8,200,-0.5,40,47968000
"900",8,200,0,40,7476000
"901",8,200,0.5,40,0
"902",8,200,1,40,0
"903",8,200,1.5,40,0
"904",8,200,2,40,0
"905",8,100,-1.5,80,49140000
