max_depth	min_split	cp	minbucket	ganancia_promedio
6	600	-1	300	49210000
6	600	-0.5	300	49210000
6	600	0	300	0
6	600	0.5	300	0
6	600	1	300	0
6	600	1.5	300	0
6	600	2	300	0
6	600	-1.5	150	48938000
6	600	-1	150	48938000
6	600	-0.5	150	48938000
6	600	0	150	0
6	600	0.5	150	0
6	600	1	150	0
6	600	1.5	150	0
6	600	2	150	0
6	600	-1.5	120	49950000
6	600	-1	120	49950000
6	600	-0.5	120	49950000
6	600	0	120	0
6	600	0.5	120	0
6	600	1	120	0
6	600	1.5	120	0
6	600	2	120	0
6	400	-1.5	320	49234000
6	400	-1	320	49234000
6	400	-0.5	320	49234000
6	400	0	320	0
6	400	0.5	320	0
6	400	1	320	0
6	400	1.5	320	0
6	400	2	320	0
6	400	-1.5	300	49210000
6	400	-1	300	49210000
6	400	-0.5	300	49210000
6	400	0	300	0
6	400	0.5	300	0
6	400	1	300	0
6	400	1.5	300	0
6	400	2	300	0
6	400	-1.5	200	50348000
6	400	-1	200	50348000
6	400	-0.5	200	50348000
6	400	0	200	0
6	400	0.5	200	0
6	400	1	200	0
6	400	1.5	200	0
6	400	2	200	0
6	400	-1.5	100	49632000
6	400	-1	100	49632000
6	400	-0.5	100	49632000
6	400	0	100	0
6	400	0.5	100	0
6	400	1	100	0
6	400	1.5	100	0
6	400	2	100	0
6	400	-1.5	80	49236000
6	400	-1	80	49236000
6	400	-0.5	80	49236000
6	400	0	80	0
6	400	0.5	80	0
6	400	1	80	0
6	400	1.5	80	0
6	400	2	80	0
6	200	-1.5	160	49606000
6	200	-1	160	49606000
6	200	-0.5	160	49606000
6	200	0	160	0
6	200	0.5	160	0
6	200	1	160	0
6	200	1.5	160	0
6	200	2	160	0
6	200	-1.5	150	48980000
6	200	-1	150	48980000
6	200	-0.5	150	48980000
6	200	0	150	0
6	200	0.5	150	0
6	200	1	150	0
6	200	1.5	150	0
6	200	2	150	0
6	200	-1.5	100	49560000
6	200	-1	100	49560000
6	200	-0.5	100	49560000
6	200	0	100	0
6	200	0.5	100	0
6	200	1	100	0
6	200	1.5	100	0
6	200	2	100	0
6	200	-1.5	50	47372000
6	200	-1	50	47372000
6	200	-0.5	50	47372000
6	200	0	50	0
6	200	0.5	50	0
6	200	1	50	0
6	200	1.5	50	0
6	200	2	50	0
6	200	-1.5	40	47078000
6	200	-1	40	47078000
6	200	-0.5	40	47078000
6	200	0	40	7476000
6	200	0.5	40	0
6	200	1	40	0
6	200	1.5	40	0
6	200	2	40	0
6	100	-1.5	80	49304000
6	100	-1	80	49304000
6	100	-0.5	80	49304000
6	100	0	80	0
6	100	0.5	80	0
6	100	1	80	0
6	100	1.5	80	0
6	100	2	80	0
6	100	-1.5	75	48762000
6	100	-1	75	48762000
6	100	-0.5	75	48762000
6	100	0	75	0
6	100	0.5	75	0
6	100	1	75	0
6	100	1.5	75	0
6	100	2	75	0
6	100	-1.5	50	47106000
6	100	-1	50	47106000
6	100	-0.5	50	47106000
6	100	0	50	15796000
6	100	0.5	50	0
6	100	1	50	0
6	100	1.5	50	0
6	100	2	50	0
6	100	-1.5	25	47126000
6	100	-1	25	47126000
6	100	-0.5	25	47126000
6	100	0	25	30790000
6	100	0.5	25	0
6	100	1	25	0
6	100	1.5	25	0
6	100	2	25	0
6	100	-1.5	20	47302000
6	100	-1	20	47302000
6	100	-0.5	20	47302000
6	100	0	20	31030000
6	100	0.5	20	0
6	100	1	20	0
6	100	1.5	20	0
6	100	2	20	0
6	50	-1.5	40	46858000
6	50	-1	40	46858000
6	50	-0.5	40	46858000
6	50	0	40	38122000
6	50	0.5	40	0
6	50	1	40	0
6	50	1.5	40	0
6	50	2	40	0
6	50	-1.5	37	46840000
6	50	-1	37	46840000
6	50	-0.5	37	46840000
6	50	0	37	38122000
6	50	0.5	37	0
6	50	1	37	0
6	50	1.5	37	0
6	50	2	37	0
6	50	-1.5	25	46802000
6	50	-1	25	46802000
6	50	-0.5	25	46802000
6	50	0	25	41934000
6	50	0.5	25	0
6	50	1	25	0
6	50	1.5	25	0
6	50	2	25	0
6	50	-1.5	12	47348000
6	50	-1	12	47348000
6	50	-0.5	12	47348000
6	50	0	12	40272000
6	50	0.5	12	0
6	50	1	12	0
6	50	1.5	12	0
6	50	2	12	0
6	50	-1.5	10	47562000
6	50	-1	10	47562000
6	50	-0.5	10	47562000
6	50	0	10	40162000
6	50	0.5	10	0
6	50	1	10	0
6	50	1.5	10	0
6	50	2	10	0
6	20	-1.5	16	47400000
6	20	-1	16	47400000
6	20	-0.5	16	47400000
6	20	0	16	43432000
6	20	0.5	16	0
6	20	1	16	0
6	20	1.5	16	0
6	20	2	16	0
6	20	-1.5	15	47412000
6	20	-1	15	47412000
6	20	-0.5	15	47412000
6	20	0	15	43304000
6	20	0.5	15	0
6	20	1	15	0
6	20	1.5	15	0
6	20	2	15	0
6	20	-1.5	10	47390000
6	20	-1	10	47390000
6	20	-0.5	10	47390000
6	20	0	10	44826000
6	20	0.5	10	0
6	20	1	10	0
6	20	1.5	10	0
6	20	2	10	0
6	20	-1.5	5	46938000
6	20	-1	5	46938000
6	20	-0.5	5	46938000
6	20	0	5	44838000
6	20	0.5	5	0
6	20	1	5	0
6	20	1.5	5	0
6	20	2	5	0
6	20	-1.5	4	47302000
6	20	-1	4	47302000
6	20	-0.5	4	47302000
6	20	0	4	44778000
6	20	0.5	4	0
6	20	1	4	0
6	20	1.5	4	0
6	20	2	4	0
6	10	-1.5	8	47944000
6	10	-1	8	47944000
6	10	-0.5	8	47944000
6	10	0	8	44828000
6	10	0.5	8	0
6	10	1	8	0
6	10	1.5	8	0
6	10	2	8	0
6	10	-1.5	7	47192000
6	10	-1	7	47192000
6	10	-0.5	7	47192000
6	10	0	7	44526000
6	10	0.5	7	0
6	10	1	7	0
6	10	1.5	7	0
6	10	2	7	0
6	10	-1.5	5	46696000
6	10	-1	5	46696000
6	10	-0.5	5	46696000
6	10	0	5	44778000
6	10	0.5	5	0
6	10	1	5	0
6	10	1.5	5	0
6	10	2	5	0
6	10	-1.5	2	45350000
6	10	-1	2	45350000
6	10	-0.5	2	45350000
6	10	0	2	44414000
6	10	0.5	2	0
6	10	1	2	0
6	10	1.5	2	0
6	10	2	2	0
8	1000	-1.5	800	49886000
8	1000	-1	800	49886000
8	1000	-0.5	800	49886000
8	1000	0	800	0
8	1000	0.5	800	0
8	1000	1	800	0
8	1000	1.5	800	0
8	1000	2	800	0
8	1000	-1.5	750	49908000
8	1000	-1	750	49908000
8	1000	-0.5	750	49908000
8	1000	0	750	0
8	1000	0.5	750	0
8	1000	1	750	0
8	1000	1.5	750	0
8	1000	2	750	0
8	1000	-1.5	500	48338000
8	1000	-1	500	48338000
8	1000	-0.5	500	48338000
8	1000	0	500	0
8	1000	0.5	500	0
8	1000	1	500	0
8	1000	1.5	500	0
8	1000	2	500	0
8	1000	-1.5	250	48354000
8	1000	-1	250	48354000
8	1000	-0.5	250	48354000
8	1000	0	250	0
8	1000	0.5	250	0
8	1000	1	250	0
8	1000	1.5	250	0
8	1000	2	250	0
8	1000	-1.5	200	48594000
8	1000	-1	200	48594000
8	1000	-0.5	200	48594000
8	1000	0	200	0
8	1000	0.5	200	0
8	1000	1	200	0
8	1000	1.5	200	0
8	1000	2	200	0
8	800	-1.5	640	49314000
8	800	-1	640	49314000
8	800	-0.5	640	49314000
8	800	0	640	0
8	800	0.5	640	0
8	800	1	640	0
8	800	1.5	640	0
8	800	2	640	0
8	800	-1.5	600	48966000
8	800	-1	600	48966000
8	800	-0.5	600	48966000
8	800	0	600	0
8	800	0.5	600	0
8	800	1	600	0
8	800	1.5	600	0
8	800	2	600	0
8	800	-1.5	400	48658000
8	800	-1	400	48658000
8	800	-0.5	400	48658000
8	800	0	400	0
8	800	0.5	400	0
8	800	1	400	0
8	800	1.5	400	0
8	800	2	400	0
8	800	-1.5	200	48356000
8	800	-1	200	48356000
8	800	-0.5	200	48356000
8	800	0	200	0
8	800	0.5	200	0
8	800	1	200	0
8	800	1.5	200	0
8	800	2	200	0
8	800	-1.5	160	49128000
8	800	-1	160	49128000
8	800	-0.5	160	49128000
8	800	0	160	0
8	800	0.5	160	0
8	800	1	160	0
8	800	1.5	160	0
8	800	2	160	0
8	600	-1.5	480	48516000
8	600	-1	480	48516000
8	600	-0.5	480	48516000
8	600	0	480	0
8	600	0.5	480	0
8	600	1	480	0
8	600	1.5	480	0
8	600	2	480	0
8	600	-1.5	450	48424000
8	600	-1	450	48424000
8	600	-0.5	450	48424000
8	600	0	450	0
8	600	0.5	450	0
8	600	1	450	0
8	600	1.5	450	0
8	600	2	450	0
8	600	-1.5	300	48354000
8	600	-1	300	48354000
8	600	-0.5	300	48354000
8	600	0	300	0
8	600	0.5	300	0
8	600	1	300	0
8	600	1.5	300	0
8	600	2	300	0
8	600	-1.5	150	48624000
8	600	-1	150	48624000
8	600	-0.5	150	48624000
8	600	0	150	0
8	600	0.5	150	0
8	600	1	150	0
8	600	1.5	150	0
8	600	2	150	0
8	600	-1.5	120	49236000
8	600	-1	120	49236000
8	600	-0.5	120	49236000
8	600	0	120	0
8	600	0.5	120	0
8	600	1	120	0
8	600	1.5	120	0
8	600	2	120	0
8	400	-1.5	320	48078000
8	400	-1	320	48078000
8	400	-0.5	320	48078000
8	400	0	320	0
8	400	0.5	320	0
8	400	1	320	0
8	400	1.5	320	0
8	400	2	320	0
8	400	-1.5	300	48354000
8	400	-1	300	48354000
8	400	-0.5	300	48354000
8	400	0	300	0
8	400	0.5	300	0
8	400	1	300	0
8	400	1.5	300	0
8	400	2	300	0
8	400	-1.5	200	48944000
8	400	-1	200	48944000
8	400	-0.5	200	48944000
8	400	0	200	0
8	400	0.5	200	0
8	400	1	200	0
8	400	1.5	200	0
8	400	2	200	0
8	400	-1.5	100	49608000
8	400	-1	100	49608000
8	400	-0.5	100	49608000
8	400	0	100	0
8	400	0.5	100	0
8	400	1	100	0
8	400	1.5	100	0
8	400	2	100	0
8	400	-1.5	80	48880000
8	400	-1	80	48880000
8	400	-0.5	80	48880000
8	400	0	80	0
8	400	0.5	80	0
8	400	1	80	0
8	400	1.5	80	0
8	400	2	80	0
8	200	-1.5	160	49050000
8	200	-1	160	49050000
8	200	-0.5	160	49050000
8	200	0	160	0
8	200	0.5	160	0
8	200	1	160	0
8	200	1.5	160	0
8	200	2	160	0
8	200	-1.5	150	48882000
8	200	-1	150	48882000
8	200	-0.5	150	48882000
8	200	0	150	0
8	200	0.5	150	0
8	200	1	150	0
8	200	1.5	150	0
8	200	2	150	0
8	200	-1.5	100	49254000
8	200	-1	100	49254000
8	200	-0.5	100	49254000
8	200	0	100	0
8	200	0.5	100	0
8	200	1	100	0
8	200	1.5	100	0
8	200	2	100	0
8	200	-1.5	50	47610000
8	200	-1	50	47610000
8	200	-0.5	50	47610000
8	200	0	50	0
8	200	0.5	50	0
8	200	1	50	0
8	200	1.5	50	0
8	200	2	50	0
8	200	-1.5	40	47968000
8	200	-1	40	47968000
8	200	-0.5	40	47968000
8	200	0	40	7476000
8	200	0.5	40	0
8	200	1	40	0
8	200	1.5	40	0
8	200	2	40	0
8	100	-1.5	80	49140000
8	100	-1	80	49140000
8	100	-0.5	80	49140000
8	100	0	80	0
8	100	0.5	80	0
8	100	1	80	0
8	100	1.5	80	0
8	100	2	80	0
8	100	-1.5	75	49280000
8	100	-1	75	49280000
8	100	-0.5	75	49280000
8	100	0	75	0
8	100	0.5	75	0
8	100	1	75	0
8	100	1.5	75	0
8	100	2	75	0
8	100	-1.5	50	46580000
8	100	-1	50	46580000
8	100	-0.5	50	46580000
8	100	0	50	15796000
8	100	0.5	50	0
8	100	1	50	0
8	100	1.5	50	0
8	100	2	50	0
8	100	-1.5	25	45218000
8	100	-1	25	45218000
8	100	-0.5	25	45218000
8	100	0	25	30790000
8	100	0.5	25	0
8	100	1	25	0
8	100	1.5	25	0
8	100	2	25	0
8	100	-1.5	20	45134000
8	100	-1	20	45134000
8	100	-0.5	20	45134000
8	100	0	20	38362000
8	100	0.5	20	0
8	100	1	20	0
8	100	1.5	20	0
8	100	2	20	0
8	50	-1.5	40	47266000
8	50	-1	40	47266000
8	50	-0.5	40	47266000
8	50	0	40	38122000
8	50	0.5	40	0
8	50	1	40	0
8	50	1.5	40	0
8	50	2	40	0
8	50	-1.5	37	46706000
8	50	-1	37	46706000
8	50	-0.5	37	46706000
8	50	0	37	38122000
8	50	0.5	37	0
8	50	1	37	0
8	50	1.5	37	0
